Player,height,weight,collage,born,birth_city,birth_state
Derrick Dial,193,83,Eastern Michigan University,1975,Detroit,Michigan
Derrick Coleman,208,104,Syracuse University,1967,Mobile,Alabama
Derrick Chievous,201,88,University of Missouri,1967,New York,New York
Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey
Derrick Byars,201,99,Vanderbilt University,1984,Memphis,Tennessee
Derrick Brown,185,72,Jacksonville University,1968,Jacksonville,Florida
Derrick Alston,211,102,Duquesne University,1972,Bronx,New York
Derrek Dickey,201,98,University of Cincinnati,1951,Cincinnati,Ohio
Deron Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
Dermie O'Connell,183,78,College of the Holy Cross,1928,,
DerMarr Johnson,193,83,Pepperdine University,1954,San Pedro,California
Derek Strong,203,99,Xavier University,1968,Los Angeles,California
Derek Smith,190,81,University of Utah,1920,,
Derek Hood,203,100,University of Arkansas,1976,Kansas City,Missouri
Derek Harper,193,83,University of Illinois at Urbana-Champaign,1961,Elberton,Georgia
Derek Grimm,206,104,University of Missouri,1974,Peoria,Illinois
Derek Fisher,185,90,University of Arkansas at Little Rock,1974,Little Rock,Arkansas
Derek Anderson,196,87,University of Kentucky,1974,Louisville,Kentucky
DeQuan Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
Denzel Valentine,198,96,Michigan State University,1993,Lansing,Michigan
Dennis Stewart,198,99,University of Michigan,1947,,
Dennis Scott,203,103,Georgia Institute of Technology,1968,Hagerstown,Maryland
Dennis Schroder,185,78,,1993,Braunschweig,Germany
Dennis Rodman*,201,95,Southeastern Oklahoma State University,1961,Trenton,New Jersey
Dennis Nutt,188,77,Texas Christian University,1963,Little Rock,Arkansas
Dennis Johnson*,193,83,Pepperdine University,1954,San Pedro,California
Dennis Horner,206,104,North Carolina State University,1988,Linwood,New Jersey
Dennis Hopson,196,90,Ohio State University,1965,Toledo,Ohio
Dennis Hamilton,203,95,Arizona State University,1944,Huntington Beach,California
Dennis DuVal,190,79,Syracuse University,1952,Westbury,New York
Dennis Boyd,185,79,University of Detroit Mercy,1954,Portsmouth,Virginia
Dennis Bell,196,83,Drake University,1951,Cincinnati,Ohio
Dennis Awtrey,208,106,Santa Clara University,1948,Hollywood,California
Deng Gai,206,113,Fairfield University,1982,Wow,South Sudan
Demetrius Jackson,185,91,University of Notre Dame,1994,South Bend,Indiana
Demetrius Calip,185,74,University of Michigan,1969,Flint,Michigan
Demetris Nichols,203,97,Syracuse University,1984,Boston,Massachusetts
DeMarre Carroll,203,97,University of Missouri,1986,Birmingham,Alabama
DeMarcus Nelson,193,90,Duke University,1985,Oakland,California
DeMarcus Cousins,211,122,University of Kentucky,1990,Mobile,Alabama
DeMarco Johnson,193,83,Pepperdine University,1954,San Pedro,California
DeMar DeRozan,201,100,University of Southern California,1989,Compton,California
Delonte West,193,81,Saint Joseph's University,1983,Washington,District of Columbia
Delon Wright,196,83,University of Utah,1992,Los Angeles,California
Dell Demps,190,92,University of the Pacific,1970,Long Beach,California
Dell Curry,193,86,Virginia Polytechnic Institute and State University,1964,Harrisonburg,Virginia
Delaney Rudd,188,81,Wake Forest University,1962,Halifax,North Carolina
Del Beshore,180,74,California University of Pennslyvania,1956,Mechanicsburg,Pennsylvania
DeJuan Wheat,183,74,University of Louisville,1973,Louisville,Kentucky
DeJuan Blair,201,122,University of Pittsburgh,1989,Pittsburgh,Pennsylvania
Dejounte Murray,196,77,University of Washington,1996,Seattle,Washington
Dee Gibson,180,79,Western Kentucky University,1923,,
Dee Brown,185,72,Jacksonville University,1968,Jacksonville,Florida
Dedric Willoughby,190,81,Iowa State University,1974,New Orleans,Louisiana
DeAndre Liggins,198,94,University of Kentucky,1988,Chicago,Illinois
DeAndre Jordan,211,120,Texas A&M University,1988,Houston,Texas
DeAndre' Bembry,198,95,Saint Joseph's University,1994,Charlotte,North Carolina
Dean Tolson,203,86,University of Arkansas,1951,Kansas City,Missouri
Dean Oliver,180,81,University of Iowa,1978,Quincy,Illinois
Dean Meminger,183,79,Marquette University,1948,Walterboro,South Carolina
Dean Garrett,208,102,Indiana University,1966,Los Angeles,California
Davis Bertans,208,95,,1992,Valmiera,Latvia
David Wood,206,102,"University of Nevada, Reno",1964,Spokane,Washington
David Wingate,196,83,Georgetown University,1963,Baltimore,Maryland
David West,206,113,Xavier University,1980,Teaneck,New Jersey
David Wesley,183,86,Baylor University,1970,San Antonio,Texas
David Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
David Vaughn,211,99,Oral Roberts University,1952,Nashville,Tennessee
David Vanterpool,196,90,St. Bonaventure University,1973,Daytona Beach,Florida
David Thompson*,193,88,North Carolina State University,1954,Shelby,North Carolina
David Thirdkill,201,88,Bradley University,1960,St. Louis,Missouri
David Stockton,180,74,Gonzaga University,1991,Spokane,Washington
David Robinson*,216,106,United States Naval Academy,1965,Key West,Florida
David Rivers,183,77,University of Notre Dame,1965,Jersey City,New Jersey
David Pope,201,99,Norfolk State University,1962,Newport News,Virginia
David Nwaba,193,94,"California Polytechnic State University, San Luis Obispo",1993,Los Angeles,California
David Noel,198,104,University of North Carolina,1984,Durham,North Carolina
David Lee,201,102,University of San Francisco,1942,Modesto,California
David Harrison,213,127,University of Colorado,1982,Nashville,Tennessee
David Cooke,203,104,Saint Mary's College of California,1963,Sacramento,California
David Burns,188,81,Saint Louis University,1958,Dallas,Texas
David Benoit,203,99,University of Alabama,1968,Lafayette,Louisiana
David Andersen,208,104,Augsburg College,1943,Minneapolis,Minnesota
Dave Zeller,185,79,Miami University,1939,,
Dave Wohl,188,83,University of Pennsylvania,1949,Flushing,New York
Dave Twardzik,185,79,Old Dominion University,1950,Hershey,Pennsylvania
Dave Stallworth,201,90,Wichita State University,1941,Dallas,Texas
Dave Sorenson,203,102,Ohio State University,1948,,
Dave Scholz,203,99,University of Illinois at Urbana-Champaign,1948,,
Dave Schellhase,190,92,Purdue University,1944,Evansville,Indiana
Dave Robisch,208,106,University of Kansas,1949,Cincinnati,Ohio
Dave Popson,208,99,University of North Carolina,1964,Kingston,Pennsylvania
Dave Piontek,198,104,Xavier University,1934,,
Dave Newmark,213,108,Columbia University,1946,Brooklyn,New York
Dave Minor,188,83,"University of California, Los Angeles",1922,Missouri,
Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California
Dave Magley,203,91,University of Kansas,1959,South Bend,Indiana
Dave Lattin,198,102,University of Texas at El Paso,1943,Houston,Texas
Dave Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
Dave Jamerson,196,86,Ohio University,1967,Clarksburg,West Virginia
Dave Hoppen,211,106,University of Nebraska,1964,Omaha,Nebraska
Dave Henderson,196,88,Duke University,1964,Henderson,North Carolina
Dave Gunther,201,86,University of Iowa,1937,,
Dave Greenwood,206,100,"University of California, Los Angeles",1957,Lynwood,California
Dave Gambee,198,97,Oregon State University,1937,Portland,Oregon
Dave Feitl,211,106,University of Texas at El Paso,1962,Butler,Pennsylvania
Dave Fedor,198,86,Florida State University,1940,,
Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York
Dave DeBusschere*,198,99,University of Detroit Mercy,1940,Detroit,Michigan
Dave Cowens*,206,104,Florida State University,1948,Newport,Kentucky
Dave Corzine,211,113,DePaul University,1956,Arlington Heights,Illinois
Dave Budd,198,92,Wake Forest University,1938,Woodbury,New Jersey
Dave Britton,193,81,Texas A&M University,1958,New York,New York
Dave Bing*,190,81,Syracuse University,1943,Washington,District of Columbia
Dave Batton,208,108,University of Notre Dame,1956,Baltimore,Maryland
Darwin Cook,190,83,University of Portland,1958,Los Angeles,California
Darvin Ham,201,99,Texas Tech University,1973,Saginaw,Michigan
Darryl Watkins,211,117,Syracuse University,1984,Paterson,New Jersey
Darryl Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
Darryl Dawkins,211,113,,1957,Orlando,Florida
Darrun Hilliard,198,92,Villanova University,1993,Bethlehem,Pennsylvania
Darrin Hancock,201,92,University of Kansas,1971,Birmingham,Alabama
Darrick Martin,180,77,"University of California, Los Angeles",1971,Denver,Colorado
Darren Tillis,211,97,Cleveland State University,1960,Dallas,Texas
Darren Morningstar,208,106,University of Pittsburgh,1969,Stevenson,Washington
Darren Daye,203,99,"University of California, Los Angeles",1960,Des Moines,Iowa
Darren Collison,183,79,"University of California, Los Angeles",1987,Rancho Cucamonga,California
Darrell Walker,193,81,University of Arkansas,1961,Chicago,Illinois
Darrell Lockhart,206,111,Auburn University,1960,Thomaston,Georgia
Darrell Griffith,193,86,University of Louisville,1958,Louisville,Kentucky
Darrell Elston,193,86,University of North Carolina,1952,Tipton,Indiana
Darrell Arthur,206,106,University of Kansas,1988,Dallas,Texas
Darrell Armstrong,183,77,Fayetteville State University,1968,Gastonia,North Carolina
Darrell Allums,206,99,"University of California, Los Angeles",1958,Los Angeles,California
Darrall Imhoff,208,99,University of California,1938,San Gabriel,California
Darnell Valentine,185,83,University of Kansas,1959,Chicago,Illinois
Darnell Mee,196,79,Western Kentucky University,1971,Cleveland,Tennessee
Darnell Jackson,206,114,University of Kansas,1985,Oklahoma City,Oklahoma
Darnell Hillman,206,97,San Jose State University,1949,Sacramento,California
Darko Milicic,213,113,,1985,Novi Sad,Serbia
Darius Washington,188,88,University of Memphis,1985,Winter Park,Florida
Darius Songaila,206,112,Wake Forest University,1978,Marijampole,Lithuania
Darius Morris,193,86,University of Michigan,1991,Los Angeles,California
Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
Darius Miles,206,95,,1981,Belleville,Illinois
Darius Johnson-Odom,201,95,Syracuse University,1970,Morgan City,Louisiana
Dario Saric,208,101,,1994,Sibenik,Croatia
Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada
Danuel House,201,93,Texas A&M University,1993,Houston,Texas
Dante Exum,198,86,,1995,Melbourne,Australia
Dante Cunningham,203,104,Villanova University,1987,Clinton,Maryland
Danny Young,190,79,Wake Forest University,1962,Raleigh,North Carolina
Danny Wagner,183,77,University of Texas at Austin,1922,,
Danny Vranes,201,95,University of Utah,1958,Salt Lake City,Utah
Danny Schayes,211,106,Syracuse University,1959,Syracuse,New York
Danny Manning,208,104,University of Kansas,1966,Hattiesburg,Mississippi
Danny Green,206,100,"University of California, Los Angeles",1957,Lynwood,California
Danny Granger,206,100,University of New Mexico,1983,New Orleans,Louisiana
Danny Fortson,201,117,University of Cincinnati,1976,Philadelphia,Pennsylvania
Danny Finn,185,83,St. John's University,1928,,
Danny Ferry,208,104,Duke University,1966,Hyattsville,Maryland
Danny Doyle,203,90,Belmont Abbey College,1940,Long Island City,New York
Danny Ainge,193,79,Brigham Young University,1959,Eugene,Oregon
Danilo Gallinari,208,102,,1988,Sant'Angelo Lodigiano,Italy
Daniel Santiago,216,116,Saint Vincent College,1976,Lubbock,Texas
Daniel Orton,208,115,University of Kentucky,1990,Oklahoma City,Oklahoma
Daniel Ochefu,211,111,Villanova University,1993,Baltimore,Maryland
Daniel Gibson,188,86,University of Texas at Austin,1986,Houston,Texas
Daniel Ewing,190,83,Duke University,1983,Milton,Florida
D'Angelo Russell,188,86,,1994,,
Dane Suttle,190,86,Pepperdine University,1961,Los Angeles,California
Dana Barros,180,73,Boston College,1967,Boston,Massachusetts
Dan Tieman,183,83,Thomas More College,1940,Covington,Kentucky
Dan Swartz,193,97,Morehead State University,1934,Owingsville,Kentucky
Dan Roundfield,203,92,Central Michigan University,1953,Detroit,Michigan
Dan O'Sullivan,208,113,Fordham University,1968,Bronx,New York
Dan McClintock,213,122,Northern Arizona University,1977,Fountain Valley,California
Dan Majerle,198,97,Central Michigan University,1965,Traverse City,Michigan
Dan Langhi,211,99,Vanderbilt University,1977,Chicago,Illinois
Dan King,198,99,Western Kentucky University,1931,,
Dan Issel*,206,106,University of Kentucky,1948,Batavia,Illinois
Dan Godfread,208,113,University of Evansville,1967,Fort Wayne,Indiana
Dan Gadzuric,211,108,"University of California, Los Angeles",1978,Den Haag,Netherlands
Dan Dickau,183,86,Gonzaga University,1978,Portland,Oregon
Dan Anderson,208,104,Augsburg College,1943,Minneapolis,Minnesota
Damone Brown,188,79,Humboldt State University,1923,Eureka,California
Damon Stoudamire,178,77,University of Arizona,1973,Portland,Oregon
Damon Jones,190,83,University of Houston,1976,Galveston,Texas
Damjan Rudez,208,103,,1986,Zagreb,Croatia
Damir Markota,208,102,,1985,Sarajevo,Bosnia and Herzegovina
Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico
Damien Wilkins,208,99,Idaho State University,1960,Pocatello,Idaho
Damien Inglis,203,111,,1995,Cayenne,French Guiana
Damian Lillard,190,88,Weber State University,1990,Oakland,California
Damian Jones,190,83,University of Houston,1976,Galveston,Texas
Dallas Comegys,206,92,DePaul University,1964,Philadelphia,Pennsylvania
Dalibor Bagaric,216,115,,1980,Croatia,
Dale Wilkinson,208,99,Idaho State University,1960,Pocatello,Idaho
Dale Schlueter,208,102,Colorado State University,1945,Tacoma,Washington
Dale Hamilton,183,81,Franklin College,1919,,
Dale Ellis,201,92,University of Tennessee,1960,Marietta,Georgia
Dale Davis,211,104,Clemson University,1969,Toccoa,Georgia
Dajuan Wagner,183,77,University of Texas at Austin,1922,,
DaJuan Summers,203,104,Georgetown University,1988,Baltimore,Maryland
Dahntay Jones,190,83,University of Houston,1976,Galveston,Texas
Daequan Cook,190,83,University of Portland,1958,Los Angeles,California
D.J. White,190,90,,1988,,
D.J. Strawberry,211,113,,1977,,
D.J. Stephens,203,97,,1990,,
D.J. Kennedy,211,111,,1992,,
D.J. Augustin,206,106,,1988,,
D.C. Wilcutt,175,70,,1926,,
Cuttino Mobley,193,86,University of Rhode Island,1975,Philadelphia,Pennsylvania
Curtis Rowe,201,102,"University of California, Los Angeles",1949,Bessemer,Alabama
Curtis Perry,201,99,Missouri State University,1948,Washington,District of Columbia
Curtis Kitchen,206,106,University of South Florida,1964,Cape Coral,Florida
Curtis Borchardt,213,108,Stanford University,1980,Buffalo,New York
Curly Armstrong,180,77,Indiana University,1918,,
Cuonzo Martin,196,96,Purdue University,1971,St. Louis,Missouri
Cristiano Felicio,208,124,,1992,Pouso Alegre,Brazil
Craig Spitzer,213,102,Tulane University,1945,,
Craig Smith,201,113,Boston College,1983,Inglewood,California
Craig Shelton,201,95,Georgetown University,1957,Washington,District of Columbia
Craig Raymond,211,106,Brigham Young University,1945,Aberdeen,Washington
Craig Neal,196,74,Georgia Institute of Technology,1964,Muncie,Indiana
Craig Hodges,188,86,"California State University, Long Beach",1960,Park Forest,Illinois
Craig Ehlo,198,81,Washington State University,1961,Lubbock,Texas
Craig Dykema,203,86,"California State University, Long Beach",1959,Lakewood,California
Craig Brackins,208,104,Iowa State University,1987,Los Angeles,California
Cozell McQueen,211,106,North Carolina State University,1962,Paris,France
Courtney Sims,208,111,University of Michigan,1983,Roslindale,Massachusetts
Courtney Lee,196,90,Western Kentucky University,1985,Indianapolis,Indiana
Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas
Courtney Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
Coty Clarke,201,105,University of Arkansas,1992,Antioch,Tennessee
Cotton Nash,196,97,University of Kentucky,1942,Jersey City,New Jersey
Cory Joseph,190,87,University of Texas at Austin,1991,Toronto,Canada
Cory Jefferson,206,98,Baylor University,1990,Tacoma,Washington
Cory Higgins,196,81,University of Colorado,1989,Danville,California
Cory Carr,190,95,Texas Tech University,1975,Fordyce,Arkansas
Cory Blackwell,198,95,University of Wisconsin,1963,Chicago,Illinois
Cory Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
Corsley Edwards,206,124,Central Connecticut State University,1979,Baltimore,Maryland
Corny Thompson,203,102,University of Connecticut,1960,Middletown,Connecticut
Cornell Warner,206,99,Jackson State University,1948,Jackson,Mississippi
Cornelius Cash,203,97,Bowling Green State University,1952,Macon,Mississippi
Corliss Williamson,188,86,Oklahoma State University,1970,Twiggs,Georgia
Corky Devlin,196,88,George Washington University,1931,,
Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois
Corie Blount,206,108,University of Cincinnati,1969,Monrovia,California
Corey Williams,188,86,Oklahoma State University,1970,Twiggs,Georgia
Corey Maggette,198,98,Duke University,1979,Melrose Park,Illinois
Corey Gaines,190,88,Loyola Marymount University,1965,Los Angeles,California
Corey Crowder,196,97,Kentucky Wesleyan College,1969,Carrollton,Georgia
Corey Brewer,206,84,University of Florida,1986,Portland,Tennessee
Corey Benjamin,198,90,Oregon State University,1978,Compton,California
Corey Beck,185,86,University of Arkansas,1971,Memphis,Tennessee
Connie Simmons,203,100,,1925,Newark,New Jersey
Connie Rea,190,79,Centenary College of Louisiana,1935,,
Connie Norman,190,79,University of Arizona,1953,Detroit,Michigan
Connie Hawkins*,203,95,University of Iowa,1942,Brooklyn,New York
Connie Dierking,206,100,University of Cincinnati,1936,Brooklyn,New York
Conner Henry,201,88,"University of California, Santa Barbara",1963,Claremont,California
Cole Aldrich,211,113,University of Kansas,1988,Burnsville,Minnesota
Cody Zeller,213,108,Indiana University,1992,Washington,Indiana
Coby Karl,196,97,Boise State University,1983,Great Falls,Montana
Coby Dietrick,208,99,San Jose State University,1948,Riverside,California
Clyde Mayes,203,102,Furman University,1953,Greenville,South Carolina
Clyde Lovellette*,206,106,University of Kansas,1929,Petersburg,Indiana
Clyde Lee,208,92,Vanderbilt University,1944,Nashville,Tennessee
Clyde Drexler*,201,95,University of Houston,1962,New Orleans,Louisiana
Clinton Wheeler,185,83,William Paterson University,1959,Neptune,New Jersey
Clinton Smith,198,95,Cleveland State University,1964,Cleveland,Ohio
Clint Wager,198,95,Saint Mary's University of Minnesota,1920,Winona,Minnesota
Clint Richardson,190,88,Seattle University,1956,Seattle,Washington
Clint McDaniel,193,81,University of Arkansas,1972,Tulsa,Oklahoma
Clint Capela,206,98,,1995,,
Clifford Rozier,211,111,University of Louisville,1972,Bradenton,Florida
Clifford Robinson,206,99,University of Southern California,1960,Oakland,California
Clifford Ray,206,104,University of Oklahoma,1949,Union,South Carolina
Clifford Lett,190,77,University of Florida,1965,Pensacola,Florida
Cliff Williams,190,81,Bowling Green State University,1945,,
Cliff Robinson,206,99,University of Southern California,1960,Oakland,California
Cliff Pondexter,206,105,"California State University, Long Beach",1954,Fresno,California
Cliff Meely,203,97,University of Colorado,1947,Rosedale,Mississippi
Cliff Levingston,203,95,Wichita State University,1961,San Diego,California
Cliff Hagan*,193,95,University of Kentucky,1931,Owensboro,Kentucky
Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
Cliff Anderson,188,90,Saint Joseph's University,1944,,
Cliff Alexander,203,111,University of Kansas,1995,Chicago,Illinois
Cleveland Buckner,206,95,Jackson State University,1938,Yazoo City,Mississippi
Cleo Hill,185,83,Winston-Salem State University,1938,Newark,New Jersey
Clemon Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Clem Haskins,190,88,Western Kentucky University,1943,Campbellsville,Kentucky
Cleanthony Early,203,95,Wichita State University,1991,Middletown,New York
Clay Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Claude Terry,193,88,Stanford University,1950,Salida,California
Claude Overton,188,88,East Central University,1927,,
Claude Gregory,203,92,University of Wisconsin,1958,Washington,District of Columbia
Claude English,193,83,University of Rhode Island,1946,Columbus,Georgia
Clark Kellogg,201,102,Ohio State University,1961,Cleveland,Ohio
Clarence Weatherspoon,198,108,University of Southern Mississippi,1970,Crawford,Mississippi
Clarence Kea,198,98,Lamar University,1959,Wilmington,North Carolina
Clarence Glover,203,95,Western Kentucky University,1947,Horse Cave,Kentucky
Chucky Brown,201,97,North Carolina State University,1968,New York,New York
Chucky Atkins,180,72,University of South Florida,1974,Orlando,Florida
Chuckie Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
Chuck Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
Chuck Terry,198,97,"California State University, Long Beach",1950,Long Beach,California
Chuck Share,211,106,Bowling Green State University,1927,,
Chuck Person,203,99,Auburn University,1964,Brantley,Alabama
Chuck Osborne,198,95,Western Kentucky University,1939,,
Chuck Noble,193,86,University of Louisville,1931,,
Chuck Nevitt,226,98,North Carolina State University,1959,Cortez,Colorado
Chuck Mrazovich,196,83,Eastern Kentucky University,1924,,
Chuck Mencel,183,76,University of Minnesota,1933,Phillips,Wisconsin
Chuck Hayes,198,108,University of Kentucky,1983,San Leandro,California
Chuck Grigsby,196,86,University of Dayton,1928,Dayton,Ohio
Chuck Gilmur,193,102,University of Washington,1922,,
Chuck Cooper,196,95,Duquesne University,1926,,
Chuck Aleksinas,211,117,University of Connecticut,1959,Litchfield,Connecticut
Chubby Cox,188,81,University of San Francisco,1955,Philadelphia,Pennsylvania
Christian Wood,211,99,"University of Nevada, Las Vegas",1995,Long Beach,California
Christian Laettner,211,106,Duke University,1969,Angola,New York
Christian Eyenga,196,95,,1989,Kinshasa,Democratic Republic of the Congo
Chris Wright,203,102,University of Dayton,1988,Trotwood,Ohio
Chris Wilcox,208,100,University of Maryland,1982,Raleigh,North Carolina
Chris Whitney,183,76,Clemson University,1971,Hopkinsville,Kentucky
Chris Welp,213,111,University of Washington,1964,Delmenhorst,Germany
Chris Webber,206,111,University of Michigan,1973,Detroit,Michigan
Chris Washburn,211,102,North Carolina State University,1965,Hickory,North Carolina
Chris Taft,208,117,University of Pittsburgh,1985,Brooklyn,New York
Chris Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
Chris Singleton,203,104,Florida State University,1989,Canton,Georgia
Chris Robinson,196,90,Western Kentucky University,1974,Columbus,Georgia
Chris Richard,206,122,University of Florida,1984,Lakeland,Florida
Chris Quinn,188,83,University of Notre Dame,1983,New Orleans,Louisiana
Chris Porter,201,98,Auburn University,1978,Abbeville,Alabama
Chris Paul,183,79,Wake Forest University,1985,Winston-Salem,North Carolina
Chris Owens,201,111,University of Texas at Austin,1979,Akron,Ohio
Chris Munk,206,102,University of Southern California,1967,San Francisco,California
Chris Mullin*,198,90,St. John's University,1963,New York,New York
Chris Morris,203,95,Auburn University,1966,Atlanta,Georgia
Chris Mills,198,97,University of Arizona,1970,Los Angeles,California
Chris Mihm,213,120,University of Texas at Austin,1979,Milwaukee,Wisconsin
Chris McNealy,201,95,San Jose State University,1961,Fresno,California
Chris McCullough,211,90,Syracuse University,1995,Bronx,New York
Chris McCray,196,87,University of Maryland,1984,Capitol Heights,Maryland
Chris King,203,97,Wake Forest University,1969,Newton Grove,North Carolina
Chris Kaman,213,120,Central Michigan University,1982,Wyoming,Michigan
Chris Johnson,183,77,University of California,1949,Corpus Christi,Texas
Chris Jent,201,99,Ohio State University,1970,Orange,California
Chris Jefferies,203,102,"California State University, Fresno",1980,Fresno,California
Chris Hunter,211,108,University of Michigan,1984,Gary,Indiana
Chris Herren,188,89,"California State University, Fresno",1975,Fall River,Massachusetts
Chris Harris,190,86,University of Dayton,1933,Southampton,United Kingdom
Chris Gatling,208,99,Old Dominion University,1967,Elizabeth,New Jersey
Chris Garner,178,70,University of Memphis,1975,Memphis,Tennessee
Chris Ford,196,86,Villanova University,1949,Atlantic City,New Jersey
Chris Engler,211,111,University of Wyoming,1959,Stillwater,Minnesota
Chris Duhon,185,83,Duke University,1982,Mamou,Louisiana
Chris Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
Chris Douglas-Roberts,201,90,University of Memphis,1987,Detroit,Michigan
Chris Crawford,206,106,Marquette University,1975,Kalamazoo,Michigan
Chris Corchiani,183,83,North Carolina State University,1968,Coral Gables,Florida
Chris Copeland,206,108,University of Colorado,1984,Orange,New Jersey
Chris Childs,190,88,Boise State University,1967,Bakersfield,California
Chris Carr,196,93,Southern Illinois University,1974,Ironton,Missouri
Chris Bosh,211,106,Georgia Institute of Technology,1984,Dallas,Texas
Chris Babb,196,102,Iowa State University,1990,Arlington,Texas
Chris Anstey,213,112,,1975,Melbourne,Australia
Chris Andersen,208,111,Blinn College,1978,Long Beach,California
Chips Sobek,183,81,University of Notre Dame,1920,,
Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
Chinanu Onuaku,208,111,University of Louisville,1996,Baltimore,Maryland
Chico Vaughn,188,86,Southern Illinois University,1940,Portland,Oregon
Chick Reiser,180,74,New York University,1914,,
Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
Chet Walker*,198,96,Bradley University,1940,Bethlehem,Mississippi
Cherokee Parks,196,95,Idaho State University,1973,,
Cheikh Samb,216,111,,1984,Senegal,
Cheick Diallo,206,99,University of Kansas,1996,Kayes,Mali
Cheese Johnson,183,77,University of California,1949,Corpus Christi,Texas
Chauncey Billups,190,91,University of Colorado,1976,Denver,Colorado
Chasson Randle,188,83,Stanford University,1993,Rock Island,Illinois
Chase Budinger,201,94,University of Arizona,1988,Encinitas,California
Charlie Yelverton,188,86,Fordham University,1948,,
Charlie Ward,188,86,Florida State University,1970,Thomasville,Georgia
Charlie Villanueva,211,105,University of Connecticut,1984,Queens,New York
Charlie Tyra,203,104,University of Louisville,1935,Louisville,Kentucky
Charlie Sitton,203,95,Oregon State University,1962,McMinnville,Oregon
Charlie Scott,196,79,University of North Carolina,1948,New York,New York
Charlie Paulk,203,99,Northeastern State University,1946,Fitzgerald,Georgia
Charlie Parsley,188,79,Western Kentucky University,1925,,
Charlie Lowery,190,83,University of Puget Sound,1949,,
Charlie Hardnett,203,102,Grambling State University,1938,Atlanta,Georgia
Charlie Davis,188,72,Wake Forest University,1949,New York,New York
Charlie Criss,173,74,New Mexico State University,1948,Valhalla,New York
Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
Charlie Bell,190,90,Michigan State University,1979,Flint,Michigan
Charley Shipp,185,90,Catholic University of America,1913,,
Charles Thomas,190,79,Eastern Michigan University,1969,Dayton,Ohio
Charles Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
Charles Shackleford,208,102,North Carolina State University,1966,Kinston,North Carolina
Charles Pittman,203,99,University of Maryland,1958,Rocky Mount,North Carolina
Charles O'Bannon,196,94,"University of California, Los Angeles",1975,Bellflower,California
Charles Oakley,203,102,Virginia Union University,1963,Cleveland,Ohio
Charles Jones,206,97,Albany State University,1957,McGehee,Arkansas
Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas
Charles Jenkins,190,99,Hofstra University,1989,Brooklyn,New York
Charles Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
Charles Davis,188,72,Wake Forest University,1949,New York,New York
Charles Claxton,213,120,University of Georgia,1970,St. Thomas,U.S. Virgin Islands
Charles Bradley,196,97,University of Wyoming,1959,Havre De Grace,Maryland
Charles Barkley*,198,114,Auburn University,1963,Leeds,Alabama
Channing Frye,211,115,University of Arizona,1983,White Plains,New York
Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida
Chad Kinch,193,86,University of North Carolina at Charlotte,1958,Perth Amboy,New Jersey
Chad Gallagher,208,115,Creighton University,1969,Rockford,Illinois
Cezary Trybanski,218,108,,1979,Warsaw,Poland
Cedrick Hordges,203,99,University of South Carolina,1957,Montgomery,Alabama
Cedric Simmons,206,106,North Carolina State University,1986,Shallotte,North Carolina
Cedric Maxwell,203,92,University of North Carolina at Charlotte,1955,Kinston,North Carolina
Cedric Lewis,208,106,University of Maryland,1969,Washington,District of Columbia
Cedric Jackson,190,86,Cleveland State University,1986,Alamogordo,New Mexico
Cedric Hunter,183,81,University of Kansas,1965,Wichita Falls,Texas
Cedric Henderson,203,95,University of Georgia,1965,Marietta,Georgia
Cedric Ceballos,198,86,"California State University, Fullerton",1969,Maui,Hawaii
Cedric Bozeman,198,93,"University of California, Los Angeles",1983,Los Angeles,California
Cedric Ball,203,95,University of North Carolina at Charlotte,1968,Worcester,Massachusetts
